,CLUES,NOMBRE DE LA ENTIDAD,CLAVE DE LA INSTITUCION,ESTATUS DE OPERACION,LONGITUD,LATITUD
572,BCSMP001942,BAJA CALIFORNIA,SMP,EN OPERACION,-117.047971,32.407382
574,BCSMP001966,BAJA CALIFORNIA,SMP,EN OPERACION,-117.015035,32.537284
575,BCSMP001971,BAJA CALIFORNIA,SMP,EN OPERACION,-116.918154,32.49328
576,BCSMP001983,BAJA CALIFORNIA,SMP,EN OPERACION,-116.623741,32.573976
577,BCSMP001995,BAJA CALIFORNIA,SMP,EN OPERACION,-117.038621,32.529324
580,BCSMP002024,BAJA CALIFORNIA,SMP,EN OPERACION,-116.91004,32.551859
585,BCSMP002070,BAJA CALIFORNIA,SMP,EN OPERACION,-116.591512,32.829419
591,BCSMP002132,BAJA CALIFORNIA,SMP,EN OPERACION,-116.9388623,32.5398341
593,BCSMP002150,BAJA CALIFORNIA,SMP,EN OPERACION,-116.897545,32.501896
596,BCSMP002183,BAJA CALIFORNIA,SMP,EN OPERACION,-116.601206,31.810608
904,BCSMP005261,BAJA CALIFORNIA,SMP,EN OPERACION,-117.006593,32.512701
958,BCSSA000015,BAJA CALIFORNIA,SSA,EN OPERACION,-116.6,31.8251
1001,BCSSA000440,BAJA CALIFORNIA,SSA,EN OPERACION,-115.476271,32.644334
1042,BCSSA000855,BAJA CALIFORNIA,SSA,EN OPERACION,-116.632,32.5577
1048,BCSSA000913,BAJA CALIFORNIA,SSA,EN OPERACION,-117.01,32.5257
1142,BCSSA017590,BAJA CALIFORNIA,SSA,EN OPERACION,-117.055,32.3576
1187,BCSSA018046,BAJA CALIFORNIA,SSA,EN OPERACION,-115.382,32.62
1220,BSIMS000014,BAJA CALIFORNIA SUR,IMSS,EN OPERACION,-111.669109,25.022918
1226,BSIMS000072,BAJA CALIFORNIA SUR,IMSS,EN OPERACION,-114.049727,27.966784
1230,BSIMS000113,BAJA CALIFORNIA SUR,IMSS,EN OPERACION,-110.318703,24.145969
1234,BSIMS000154,BAJA CALIFORNIA SUR,IMSS,EN OPERACION,-109.927906,22.899623
1240,BSIMS000212,BAJA CALIFORNIA SUR,IMSS,EN OPERACION,-112.907,27.2908
1241,BSIMS000224,BAJA CALIFORNIA SUR,IMSS,EN OPERACION,-109.7080063,23.06156955
1244,BSIST000014,BAJA CALIFORNIA SUR,ISSSTE,EN OPERACION,-111.646,25.034
1247,BSIST000043,BAJA CALIFORNIA SUR,ISSSTE,EN OPERACION,-112.273919,27.346368
1253,BSIST000101,BAJA CALIFORNIA SUR,ISSSTE,EN OPERACION,-109.708767,23.068529
1276,BSIST000330,BAJA CALIFORNIA SUR,ISSSTE,EN OPERACION,-110.341179,24.138213
1284,BSSDN000015,BAJA CALIFORNIA SUR,SEDENA,EN OPERACION,-110.309093,24.166926
1285,BSSMA000016,BAJA CALIFORNIA SUR,SEMAR,EN OPERACION,-111.822,24.478
1286,BSSMA000021,BAJA CALIFORNIA SUR,SEMAR,EN OPERACION,-112.264972,27.335817
1287,BSSMA000033,BAJA CALIFORNIA SUR,SEMAR,EN OPERACION,-110.33,24.1511
1288,BSSMP000014,BAJA CALIFORNIA SUR,SMP,EN OPERACION,-109.706988,23.059211
1289,BSSMP000026,BAJA CALIFORNIA SUR,SMP,EN OPERACION,-109.7032,23.052203
1290,BSSMP000031,BAJA CALIFORNIA SUR,SMP,EN OPERACION,-109.708101,23.060054
1291,BSSMP000043,BAJA CALIFORNIA SUR,SMP,EN OPERACION,-109.912622,22.896434
1292,BSSMP000055,BAJA CALIFORNIA SUR,SMP,EN OPERACION,-109.915494,22.891112
1293,BSSMP000060,BAJA CALIFORNIA SUR,SMP,EN OPERACION,-109.908359,22.899054
1294,BSSMP000072,BAJA CALIFORNIA SUR,SMP,EN OPERACION,-109.930901,22.905236
1295,BSSMP000084,BAJA CALIFORNIA SUR,SMP,EN OPERACION,-113.411638,27.68601
1296,BSSMP000096,BAJA CALIFORNIA SUR,SMP,EN OPERACION,-110.342681,24.130622
1297,BSSMP000101,BAJA CALIFORNIA SUR,SMP,EN OPERACION,-110.342232,24.130949
1303,BSSMP000166,BAJA CALIFORNIA SUR,SMP,EN OPERACION,-109.908445,22.891383
1304,BSSMP000171,BAJA CALIFORNIA SUR,SMP,EN OPERACION,-109.7023421,23.05228066
1347,BSSMP000603,BAJA CALIFORNIA SUR,SMP,EN OPERACION,-109.7347969,23.00210525
1349,BSSMP000620,BAJA CALIFORNIA SUR,SMP,EN OPERACION,-110.3058052,24.16480597
1361,BSSMP000743,BAJA CALIFORNIA SUR,SMP,EN OPERACION,-109.701808,23.06325
1363,BSSMP000760,BAJA CALIFORNIA SUR,SMP,EN OPERACION,-109.930131,22.906299
1408,BSSSA000443,BAJA CALIFORNIA SUR,SSA,EN OPERACION,-110.375924,24.098264
1423,BSSSA000595,BAJA CALIFORNIA SUR,SSA,EN OPERACION,-109.708546,23.06186569
1457,BSSSA000933,BAJA CALIFORNIA SUR,SSA,EN OPERACION,-111.364929,26.007202
1477,BSSSA001131,BAJA CALIFORNIA SUR,SSA,EN OPERACION,-109.9248226,22.90276756
1485,BSSSA001213,BAJA CALIFORNIA SUR,SSA,EN OPERACION,-110.318457,24.113297
1515,BSSSA001510,BAJA CALIFORNIA SUR,SSA,EN OPERACION,-111.6618657,25.01838284
1572,CCIMO000232,CAMPECHE,IMSS-PROSPERA,EN OPERACION,-90.141124,20.167197
1600,CCIMO000512,CAMPECHE,IMSS-PROSPERA,EN OPERACION,-91.084861,18.53137
1606,CCIMS000016,CAMPECHE,IMSS,EN OPERACION,-90.5387,19.8394
